Hito [UY542621108],Fecha y Hora,Ubicación,Nota
Primer calostro,2022-08-27 13:23,Corral o potrero,Asegurar calostrado.
Nacimiento,2022-08-27 14:37,Potrero / corral de maternidad,Registro del nacimiento.
Separacion de la madre,2022-08-29 13:50,Corral de terneros / guachera,Separacion para manejo individual.
Colocacion de caravana oficial,2022-08-31 13:49,Manga / campo,Identificacion oficial.
Ingreso al sistema (SNIG),2022-09-01 11:01,Oficina / app,Registro del nacimiento.
Control de ombligo y signos vitales,2022-09-02 15:44,Instalaciones sanitarias,Revision sanitaria inicial.
Vacunas iniciales,2022-09-08 07:18,Manga / campo,Plan sanitario local.
Revision general de salud,2022-09-09 07:07,Campo / instalaciones,Chequeo clinico.
Guachera (cria artificial),2022-09-11 14:30,Guachera,Cria artificial y control sanitario.
Carga de nacimiento en SNIG,2022-09-28 11:19,Oficina / app,Cierre de registro.
Vacunacion clostridial,2022-10-26 17:39,Tambo Antonina (7654321-12001),Vacunacion clostridial
Destete,2022-11-06 13:06,Corrales / potrero,Paso a alimentacion solida.
Desparasitacion,2022-11-25 09:17,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2022-11-25 09:28,Tambo Antonina (7654321-12001),Vacunacion clostridial
Desparasitacion,2023-05-24 18:45,Tambo Antonina (7654321-12001),Antiparasitario programado.
Primer Celo,2023-06-22 17:07,Tambo Antonina (7654321-12001),Primer celo detectado.
Recria,2023-07-07 17:44,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Seleccion,2023-07-14 11:04,Manga / campo,Seleccion de reposicion o descarte.
Segundo Celo,2023-07-16 06:54,Tambo Antonina (7654321-12001),Segundo celo detectado.
Servicio (IA o natural),2023-08-07 07:43,Tambo Antonina (7654321-12001),Servicio exitoso.
Tercer Celo,2023-08-07 11:41,Tambo Antonina (7654321-12001),Tercer celo detectado.
Prenez confirmada,2023-10-06 18:10,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2023-11-20 18:50,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2023-11-25 15:27,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Primer servicio (hembras),2023-12-28 06:51,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2024-05-16 17:15,Potrero de maternidad,Supervision del parto.
Inicio ordene,2024-05-17 14:11,Tambo Antonina (7654321-12001),Ingreso a rutina.
Desparasitacion,2024-05-18 07:36,Tambo Antonina (7654321-12001),Antiparasitario programado.
Lactancia,2024-05-18 14:10,Tambo Antonina (7654321-12001),Inicio de lactancia.
Primer Celo posparto,2024-07-08 11:35,Tambo Antonina (7654321-12001),Retorno al celo.
Servicio (IA o natural),2024-07-08 12:29,Tambo Antonina (7654321-12001),Servicio exitoso.
Prenez confirmada,2024-09-06 09:51,Tambo Antonina (7654321-12001),Diagnostico de gestacion.
Desparasitacion,2024-11-14 07:51,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2024-11-24 12:00,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Paricion,2025-04-17 12:40,Potrero de maternidad,Supervision del parto.
Inicio ordene,2025-04-18 08:11,Tambo Antonina (7654321-12001),Ingreso a rutina.
Lactancia,2025-04-19 16:42,Tambo Antonina (7654321-12001),Inicio de lactancia.
Desparasitacion,2025-05-13 14:11,Tambo Antonina (7654321-12001),Antiparasitario programado.
Desparasitacion,2025-11-09 11:20,Tambo Antonina (7654321-12001),Antiparasitario programado.
Vacunacion clostridial,2025-11-24 17:13,Tambo Antonina (7654321-12001),Refuerzo anual clostridial.
Celo detectado,2025-12-06 12:01,Tambo Antonina (7654321-12001),En espera de servicio.
