Hito [UY407943839],Fecha y Hora,Ubicación,Nota
Nacimiento,2022-06-06 15:30,Potrero / corral de maternidad,Registro del nacimiento.
Primer calostro,2022-06-06 18:21,Corral o potrero,Asegurar calostrado.
Separacion de la madre,2022-06-08 11:33,Corral de terneros / guachera,Separacion para manejo individual.
Ingreso al sistema (SNIG),2022-06-10 10:04,Oficina / app,Registro del nacimiento.
Colocacion de caravana oficial,2022-06-10 16:29,Manga / campo,Identificacion oficial.
Control de ombligo y signos vitales,2022-06-11 06:30,Instalaciones sanitarias,Revision sanitaria inicial.
Revision general de salud,2022-06-16 16:44,Campo / instalaciones,Chequeo clinico.
Vacunas iniciales,2022-06-17 16:50,Manga / campo,Plan sanitario local.
Carga de nacimiento en SNIG,2022-07-09 18:20,Oficina / app,Cierre de registro.
Guachera (cria artificial),2022-07-12 06:44,Guachera,Cria artificial y control sanitario.
Vacunacion clostridial,2022-08-05 13:39,Potrero 2 (7654321-12003),Vacunacion clostridial
Destete,2022-08-13 09:18,Corrales / potrero,Paso a alimentacion solida.
Vacunacion clostridial,2022-09-04 06:48,Potrero 2 (7654321-12003),Vacunacion clostridial
Desparasitacion,2022-09-04 13:57,Potrero 2 (7654321-12003),Antiparasitario programado.
Recria,2022-10-21 12:43,Campo / instalaciones lecheras,Pastoreo y ganancia de peso.
Primer Celo,2023-02-21 11:13,Potrero 2 (7654321-12003),Primer celo detectado.
Seleccion,2023-02-26 07:35,Manga / campo,Seleccion de reposicion o descarte.
Desparasitacion,2023-03-03 15:55,Potrero 2 (7654321-12003),Antiparasitario programado.
Segundo Celo,2023-03-12 15:17,Potrero 2 (7654321-12003),Segundo celo detectado.
Tercer Celo,2023-04-06 08:47,Potrero 2 (7654321-12003),Tercer celo detectado.
Servicio (IA o natural),2023-04-06 16:59,Potrero 2 (7654321-12003),Servicio exitoso.
Prenez confirmada,2023-06-05 09:31,Potrero 2 (7654321-12003),Diagnostico de gestacion.
Desparasitacion,2023-08-30 10:31,Potrero 2 (7654321-12003),Antiparasitario programado.
Vacunacion clostridial,2023-09-04 14:02,Potrero 2 (7654321-12003),Refuerzo anual clostridial.
Primer servicio (hembras),2023-09-21 13:20,Campo / brete / veterinario,Inicio de vida reproductiva.
Paricion,2024-01-14 17:12,Potrero de maternidad,Supervision del parto.
Inicio ordene,2024-01-15 09:47,Potrero 2 (7654321-12003),Ingreso a rutina.
Lactancia,2024-01-16 09:55,Potrero 2 (7654321-12003),Inicio de lactancia.
Desparasitacion,2024-02-26 08:48,Potrero 2 (7654321-12003),Antiparasitario programado.
Servicio (IA o natural),2024-03-12 09:12,Potrero 2 (7654321-12003),Servicio exitoso.
Primer Celo posparto,2024-03-12 10:13,Potrero 2 (7654321-12003),Retorno al celo.
Prenez confirmada,2024-05-11 09:53,Potrero 2 (7654321-12003),Diagnostico de gestacion.
Desparasitacion,2024-08-24 14:17,Potrero 2 (7654321-12003),Antiparasitario programado.
Vacunacion clostridial,2024-09-03 13:23,Potrero 2 (7654321-12003),Refuerzo anual clostridial.
Paricion,2024-12-20 15:22,Potrero de maternidad,Supervision del parto.
Inicio ordene,2024-12-21 08:49,Potrero 2 (7654321-12003),Ingreso a rutina.
Lactancia,2024-12-22 07:07,Potrero 2 (7654321-12003),Inicio de lactancia.
Desparasitacion,2025-02-20 12:14,Potrero 2 (7654321-12003),Antiparasitario programado.
Desparasitacion,2025-08-19 18:36,Potrero 2 (7654321-12003),Antiparasitario programado.
Vacunacion clostridial,2025-09-03 15:20,Potrero 2 (7654321-12003),Refuerzo anual clostridial.
Celo detectado,2025-12-17 16:42,Potrero 2 (7654321-12003),En espera de servicio.
